2 4 29 // magic number - today's date			
#	energy levels of ground electronic state of H2 by Evelyne Roueff		
#	V	J	E(cm-1)
0	0	0	
0	1	118.5	
0	2	354.35	
0	3	705.54	
0	4	1168.78	
0	5	1740.21	
0	6	2414.76	
0	7	3187.57	
0	8	4051.73	
0	9	5001.97	
0	10	6030.81	
0	11	7132.03	
0	12	8298.61	
0	13	9523.82
0	14	10800.6
0	15	12123.66
0	16	13485.56
0	17	14881.29
0	18	16304.82
0	19	17750.25
0	20	19213.16
0	21	20688.04
0	22	22170.98
0	23	23656.4
0	24	25141.64
0	25	26622.18
0	26	28093.55
0	27	29554.03
0	28	30999.06
0	29	32423.09
0	30	33821.2559
0	31	35197.44469
#data missing	0	30
#data missing	0	31
1	0	4161.14
1	1	4273.75
1	2	4497.82
1	3	4831.41
1	4	5271.36
1	5	5813.95
1	6	6454.28
1	7	7187.44
1	8	8007.77
1	9	8908.28
1	10	9883.79
1	11	10927.12
1	12	12031.44
1	13	13191.06
1	14	14399.08
1	15	15649.58
1	16	16936.24
1	17	18253.48
1	18	19595.66
1	19	20957.71
1	20	22333.77
1	21	23720.3
1	22	25111.61
1	23	26503.77
1	24	27892.87
1	25	29273.9
1	26	30643.65
1	27	31997.67
1	28	33327.69
1	29	34643.64
1	30	35923.114
#data missing	1	30
2	0	8086.93
2	1	8193.81
2	2	8406.29
2	3	8722.7
2	4	9139.86
2	5	9654.15
2	6	10261.2
2	7	10955.68
2	8	11732.12
2	9	12584.8
2	10	13507.42
2	11	14493.58
2	12	15537.15
2	13	16632.1
2	14	17771.73
2	15	18950.27
2	16	20161.77
2	17	21400.94
2	18	22661.71
2	19	23939.59
2	20	25228.65
2	21	26524.81
2	22	27823.02
2	23	29118.97
2	24	30408.13
2	25	31685.55
2	26	32947.18
2	27	34189.01	
2	28	35402	
#extra data	2	29	36588.23
3	0	11782.36	
3	1	11883.51	
3	2	12084.66	
3	3	12384.14	
3	4	12778.78	
3	5	13265.27	
3	6	13839.18	
3	7	14495.46	
3	8	15228.82	
3	9	16033.83	
3	10	16904.42	
3	11	17833.83	
3	12	18816.78	
3	13	19847.08	
3	14	20918.25	
3	15	22024.99	
3	16	23161.07	
3	17	24321.21	
3	18	25499.74	
3	19	26691.81	
3	20	27891.56	
3	21	29094.96	
3	22	30296.29	
3	23	31490.9	
3	24	32673.63	
3	25	33840.2	
3	26	34983.4	
3	27	36098.04	
#extra data	3	28	37176.69
#extra data	3	29	38206.66
4	0	15250.41	
4	1	15345.81	
4	2	15535.7	
4	3	15818.27	
4	4	16190.66	
4	5	16649.48	
4	6	17190.36	
4	7	17808.76	
4	8	18499.06	
4	9	19256.43	
4	10	20074.45	
4	11	20947.48	
4	12	21869.48	
4	13	22834.61	
4	14	23836.56	
4	15	24870.31	
4	16	25929.42	
4	17	27008.79	
4	18	28102.32	
4	19	29205.28	
4	20	30311.8	
4	21	31416.98	
4	22	32514.75	
4	23	33600.22	
4	24	34666.91	
4	25	35707.98	
#extra data	4	26	36713.57
#extra data	4	27	37675
#extra data	4	28	38566.17
#extra data	4	29	39366.37
5	0	18491.92	
5	1	18581.71
5	2	18760.28
5	3	19026.01
5	4	19375.99
5	5	19807.03
5	6	20314.77
5	7	20894.94
5	8	21542.14
5	9	22251.21
5	10	23016.21
5	11	23831.68
5	12	24691.77
5	13	25590.22
5	14	26521.37
5	15	27479.64
5	16	28459
5	17	29453.78	
5	18	30457.97	
5	19	31466.45	
5	20	32472.78	
5	21	33471.25	
5	22	34454.77	
5	23	35416.56	
#extra data	5	24	36346.64
#extra data	5	25	37235.27
#extra data	5	26	38062.06
6	0	21505.78	
6	1	21589.82	
6	2	21756.98	
6	3	22005.58	
6	4	22332.85	
6	5	22735.61	
6	6	23209.77
6	7	23750.95
6	8	24353.9
6	9	25013.67
6	10	25724.35
6	11	26480.6
6	12	27276.37
6	13	28105.82
6	14	28962.9
6	15	29841.84
6	16	30736.45
6	17	31641.13
6	18	32548.92
6	19	33453.82
6	20	34348.48
6	21	35225.98
6	22	36075.24	
#extra data	6	23	36885.88
#extra data	6	24	37637.52
7	0	24287.91	
7	1	24366.14	
7	2	24521.53	
7	3	24752.53	
7	4	25056.36	
7	5	25430.1	
7	6	25869.54	
7	7	26370.44	
7	8	26927.66	
