#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-01-30T21:58:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e3336079635	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-nav=cat:J/A+A/630/A58&tab:{J/A+A/630/A58/table2}&key:source=J/A+A/630/A58&HTTPPRM:&&-ref=VIZ5e3336079635&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-order=I&-oc.form=dec&-out.src=J/A+A/630/A58/table2&-out=vu&-out=Ju&-out=vl&-out=Jl&-out=sigma&-out=Dsigma&-out=lambda&-out=Dlambda&-out=Aqua&-out=Ama&-out=A&-out=Atot&-out=Eu&-out=DEu&-out=Tu&-out=gu&-meta=1u&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/A+A/630/A58/table2
#-source=J/A+A/630/A58/table2
#-out=vu
#-out=Ju
#-out=vl
#-out=Jl
#-out=sigma
#-out=Dsigma
#-out=lambda
#-out=Dlambda
#-out=Aqua
#-out=Ama
#-out=A
#-out=Atot
#-out=Eu
#-out=DEu
#-out=Tu
#-out=gu
#-source=J/A+A/630/A58
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_36300058
#Name: J/A+A/630/A58
#Title: Full infrared spectrum of molecular hydrogen (Roueff+, 2019)
#Table	J_A_A_630_A58_table2:
#Name: J/A+A/630/A58/table2
#Title: List of all infrared transition of the X H2 rovibrational states
#Column	vu	(I2)	Upper state vibrational quantum number	[ucd=phys.atmol.qn]
#Column	Ju	(I2)	Upper state rotational quantum number	[ucd=phys.atmol.qn]
#Column	vl	(I2)	Lower state vibrational quantum number	[ucd=phys.atmol.qn]
#Column	Jl	(I2)	Lower state rotational quantum number	[ucd=phys.atmol.qn]
#Column	sigma	(F16.6)	Transition wave-number, {sigma}	[ucd=em.wavenumber;phys.atmol.transition]
#Column	Dsigma	(F7)	Transition wave-number accuracy, {Delta}{sigma}	[ucd=stat.error]
#Column	lambda	(F17.9)	Transition wavelength, {lambda}	[ucd=em.wl;phys.atmol.transition]
#Column	Dlambda	(F7)	Transition wavelength accuracy, {Delta}{lambda}	[ucd=stat.error]
#Column	Aqua	(E9.2)	Electric quadrupole transition Einstein coefficient Aqua(vu,Ju --> vl,Jl)	[ucd=phys.atmol.transProb;phys.atmol.transition]
#Column	Ama	(E9.2)	Magnetic dipole transition Einstein coefficient Ama(vu,Ju --> vl,Jl)	[ucd=phys.atmol.transProb;phys.atmol.transition]
#Column	A	(E9.2)	Full radiative transition emission probability Einstein coefficient A(vu,Ju --> vl,Jl) = Aqua(vu,Ju --> vl,Jl) + Ama(vu,Ju --> vl,Jl)	[ucd=phys.atmol.transProb]
#Column	Atot	(E9.2)	Total level emission probability of the upper level A_tot_(vu,Ju) = {Sum}(vl,Jl) A(vu,Ju --> vl,Jl)	[ucd=stat.probability;phys.atmol.level]
#Column	Eu	(F16.6)	Upper level energy (origin is the H_2 dissociation limit)	[ucd=phys.energy;phys.atmol.level]
#Column	DEu	(F7)	Upper level energy accuracy, {Delta}Eu	[ucd=stat.error]
#Column	Tu	(F11.1)	Upper level term energy (computed from (0,0) level with a dissociation energy of 36118.0695cm^-1^)	[ucd=phys.energy;phys.atmol.level]
#Column	gu	(I3)	Upper level statistical weight (1)	[ucd=stat.weight;phys.atmol.level]
vu	Ju	vl	Jl	sigma	Dsigma	lambda	Dlambda	Aqua	Ama	A	Atot	Eu	DEu	Tu	gu
 	 	 	 	cm-1	cm-1	um	um	s-1	s-1	s-1	s-1	cm-1	cm-1	K	
--	--	--	--	----------------	-------	-----------------	-------	---------	---------	---------	---------	----------------	-------	-----------	---
 0	 2	 0	 0	      354.373130	  4e-06	     28.218843793	  3e-07	 2.94e-11	 0.00e+00	 2.94e-11	 2.94e-11	   -35763.696396	  2e-04	      509.9	  5
 0	 3	 0	 1	      587.032025	  6e-06	     17.034845756	  2e-07	 4.76e-10	 0.00e+00	 4.76e-10	 4.76e-10	   -35412.550688	  2e-04	     1015.1	 21
 0	 4	 0	 2	      814.424302	  8e-06	     12.278611991	  1e-07	 2.76e-09	 0.00e+00	 2.76e-09	 2.76e-09	   -34949.272093	  2e-04	     1681.6	  9
 0	 5	 0	 3	     1034.670685	  1e-05	      9.664910918	  1e-07	 9.84e-09	 0.00e+00	 9.84e-09	 9.84e-09	   -34377.880003	  2e-04	     2503.7	 33
 0	 6	 0	 4	     1246.099547	  1e-05	      8.025041036	  8e-08	 2.64e-08	 0.00e+00	 2.64e-08	 2.64e-08	   -33703.172546	  2e-04	     3474.5	 13
 0	 7	 0	 5	     1447.280936	  1e-05	      6.909508549	  7e-08	 5.88e-08	 0.00e+00	 5.88e-08	 5.88e-08	   -32930.599067	  2e-04	     4586.1	 45
 0	 8	 0	 6	     1637.046000	  2e-05	      6.108563840	  6e-08	 1.14e-07	 0.00e+00	 1.14e-07	 1.14e-07	   -32066.126547	  2e-04	     5829.8	 17
 0	 9	 0	 7	     1814.492375	  2e-05	      5.511183259	  5e-08	 2.00e-07	 0.00e+00	 2.00e-07	 2.00e-07	   -31116.106692	  2e-04	     7196.7	 57
 0	10	 0	 8	     1978.977263	  2e-05	      5.053115155	  5e-08	 3.24e-07	 0.00e+00	 3.24e-07	 3.24e-07	   -30087.149284	  2e-04	     8677.1	 21
 0	11	 0	 9	     2130.100614	  2e-05	      4.694613923	  4e-08	 4.90e-07	 0.00e+00	 4.90e-07	 4.90e-07	   -28986.006078	  2e-04	    10261.4	 69
 0	12	 0	10	     2267.681181	  2e-05	      4.409790972	  4e-08	 7.03e-07	 0.00e+00	 7.03e-07	 7.03e-07	   -27819.468103	  2e-04	    11939.8	 25
 0	13	 0	11	     2391.728142	  2e-05	      4.181077199	  4e-08	 9.63e-07	 0.00e+00	 9.63e-07	 9.63e-07	   -26594.277936	  2e-04	    13702.6	 81
 0	14	 0	12	     2502.410681	  2e-05	      3.996146626	  3e-08	 1.27e-06	 0.00e+00	 1.27e-06	 1.27e-06	   -25317.057422	  1e-04	    15540.2	 29
 0	15	 0	13	     2600.027482	  2e-05	      3.846113193	  3e-08	 1.62e-06	 0.00e+00	 1.62e-06	 1.62e-06	   -23994.250455	  1e-04	    17443.5	 93
 0	16	 0	14	     2684.977572	  2e-05	      3.724425896	  3e-08	 2.00e-06	 0.00e+00	 2.00e-06	 2.00e-06	   -22632.079850	  1e-04	    19403.3	 33
 0	17	 0	15	     2757.733480	  2e-05	      3.626166224	  3e-08	 2.41e-06	 0.00e+00	 2.41e-06	 2.41e-06	   -21236.516974	  1e-04	    21411.2	105
 0	18	 0	16	     2818.817246	  2e-05	      3.547587207	  3e-08	 2.83e-06	 0.00e+00	 2.83e-06	 2.83e-06	   -19813.262604	  9e-05	    23459.0	 37
 0	19	 0	17	     2868.779482	  2e-05	      3.485802957	  3e-08	 3.26e-06	 0.00e+00	 3.26e-06	 3.26e-06	   -18367.737493	  8e-05	    25538.8	117
 0	20	 0	18	     2908.181426	  2e-05	      3.438575018	  3e-08	 3.68e-06	 0.00e+00	 3.68e-06	 3.68e-06	   -16905.081178	  7e-05	    27643.2	 41
 0	21	 0	19	     2937.579741	  2e-05	      3.404162910	  2e-08	 4.08e-06	 0.00e+00	 4.08e-06	 4.08e-06	   -15430.157752	  6e-05	    29765.3	129
 0	22	 0	20	     2957.513679	  2e-05	      3.381218512	  2e-08	 4.45e-06	 0.00e+00	 4.45e-06	 4.45e-06	   -13947.567499	  5e-05	    31898.4	 45
 0	23	 0	21	     2968.494159	  2e-05	      3.368711362	  2e-08	 4.78e-06	 0.00e+00	 4.78e-06	 4.78e-06	   -12461.663593	  4e-05	    34036.3	141
 0	24	 0	22	     2970.994204	  2e-05	      3.365876644	  2e-08	 5.06e-06	 0.00e+00	 5.06e-06	 5.06e-06	   -10976.573295	  3e-05	    36173.0	 49
 0	24	 1	22	       30.205422	  7e-06	    331.066389339	  7e-05	 6.33e-17	 0.00e+00	 6.33e-17	 5.06e-06	   -10976.573295	  3e-05	    36173.0	 49
 0	25	 0	23	     2965.440121	  2e-05	      3.372180719	  2e-08	 5.27e-06	 0.00e+00	 5.27e-06	 5.27e-06	    -9496.223471	  2e-05	    38302.9	153
 0	25	 1	23	      118.343261	  7e-06	     84.499953065	  5e-06	 6.22e-14	 0.00e+00	 6.22e-14	 5.27e-06	    -9496.223471	  2e-05	    38302.9	153
 0	26	 0	24	     2952.202695	  2e-05	      3.387301291	  2e-08	 5.42e-06	 0.00e+00	 5.42e-06	 5.42e-06	    -8024.370600	  1e-05	    40420.6	 53
 0	26	 1	24	      201.398456	  7e-06	     49.652813624	  2e-06	 9.40e-13	 0.00e+00	 9.40e-13	 5.42e-06	    -8024.370600	  1e-05	    40420.6	 53
 0	27	 0	25	     2931.587453	  2e-05	      3.411121162	  2e-08	 5.50e-06	 0.00e+00	 5.50e-06	 5.50e-06	    -6564.636018	  3e-06	    42520.8	165
 0	27	 1	25	      279.847254	  7e-06	     35.733779257	  9e-07	 5.15e-12	 0.00e+00	 5.15e-12	 5.50e-06	    -6564.636018	  3e-06	    42520.8	165
 0	28	 0	26	     2903.822736	  2e-05	      3.443736381	  2e-08	 5.51e-06	 0.00e+00	 5.51e-06	 5.51e-06	    -5120.547864	  8e-06	    44598.5	 57
 0	28	 1	26	      354.175248	  7e-06	     28.234610003	  6e-07	 1.76e-11	 0.00e+00	 1.76e-11	 5.51e-06	    -5120.547864	  8e-06	    44598.5	 57
 0	29	 0	27	     2869.043657	  2e-05	      3.485481992	  2e-08	 5.43e-06	 0.00e+00	 5.43e-06	 5.43e-06	    -3695.592361	  2e-05	    46648.7	177
 0	29	 1	27	      424.885217	  7e-06	     23.535768250	  4e-07	 4.62e-11	 0.00e+00	 4.62e-11	 5.43e-06	    -3695.592361	  2e-05	    46648.7	177
 0	30	 0	28	     2827.268848	  1e-05	      3.536982345	  2e-08	 5.28e-06	 0.00e+00	 5.28e-06	 5.28e-06	    -2293.279015	  2e-05	    48666.3	 61
 0	30	 1	28	      492.510070	  7e-06	     20.304153375	  3e-07	 1.02e-10	 0.00e+00	 1.02e-10	 5.28e-06	    -2293.279015	  2e-05	    48666.3	 61
 0	31	 0	29	     2778.364537	  1e-05	      3.599239721	  2e-08	 5.04e-06	 0.00e+00	 5.04e-06	 5.04e-06	     -917.227824	  3e-05	    50646.2	189
 0	31	 1	29	      557.634092	  7e-06	     17.932906441	  2e-07	 2.00e-10	 0.00e+00	 2.00e-10	 5.04e-06	     -917.227824	  3e-05	    50646.2	189
 1	 0	 0	 2	     3806.792992	  2e-05	      2.626883054	  1e-08	 8.53e-07	 0.00e+00	 8.53e-07	 8.53e-07	   -31956.903404	  2e-04	     5987.0	  1
 1	 1	 0	 3	     3568.221737	  2e-05	      2.802516418	  2e-08	 4.22e-07	 0.00e+00	 4.22e-07	 8.52e-07	   -31844.328951	  2e-04	     6149.0	  9
 1	 1	 0	 1	     4155.253762	  3e-05	      2.406591889	  1e-08	 4.29e-07	 7.14e-10	 4.29e-07	 8.52e-07	   -31844.328951	  2e-04	     6149.0	  9
 1	 2	 0	 4	     3329.040990	  2e-05	      3.003868090	  1e-08	 2.90e-07	 0.00e+00	 2.90e-07	 8.47e-07	   -31620.231103	  2e-04	     6471.4	  5
 1	 2	 0	 2	     4143.465293	  3e-05	      2.413438823	  1e-08	 3.03e-07	 2.14e-09	 3.05e-07	 8.47e-07	   -31620.231103	  2e-04	     6471.4	  5
 1	 2	 0	 0	     4497.838423	  3e-05	      2.223290181	  1e-08	 2.53e-07	 0.00e+00	 2.53e-07	 8.47e-07	   -31620.231103	  2e-04	     6471.4	  5
 1	 2	 1	 0	      336.672301	  4e-06	     29.702473207	  3e-07	 2.79e-11	 0.00e+00	 2.79e-11	 8.47e-07	   -31620.231103	  2e-04	     6471.4	  5
 1	 3	 0	 5	     3091.201926	  1e-05	      3.234987632	  2e-08	 2.08e-07	 0.00e+00	 2.08e-07	 8.38e-07	   -31286.678077	  2e-04	     6951.3	 21
 1	 3	 0	 3	     4125.872611	  2e-05	      2.423729703	  1e-08	 2.78e-07	 4.28e-09	 2.82e-07	 8.38e-07	   -31286.678077	  2e-04	     6951.3	 21
 1	 3	 0	 1	     4712.904636	  3e-05	      2.121833725	  1e-08	 3.47e-07	 0.00e+00	 3.47e-07	 8.38e-07	   -31286.678077	  2e-04	     6951.3	 21
 1	 3	 1	 1	      557.650874	  6e-06	     17.932366766	  2e-07	 4.50e-10	 0.00e+00	 4.50e-10	 8.38e-07	   -31286.678077	  2e-04	     6951.3	 21
 1	 4	 0	 6	     2856.482463	  1e-05	      3.500809170	  2e-08	 1.50e-07	 0.00e+00	 1.50e-07	 8.23e-07	   -30846.690083	  2e-04	     7584.3	  9
 1	 4	 0	 4	     4102.582010	  2e-05	      2.437489361	  1e-08	 2.65e-07	 7.15e-09	 2.72e-07	 8.23e-07	   -30846.690083	  2e-04	     7584.3	  9
 1	 4	 0	 2	     4917.006312	  3e-05	      2.033757812	  1e-08	 3.98e-07	 0.00e+00	 3.98e-07	 8.23e-07	   -30846.690083	  2e-04	     7584.3	  9
 1	 4	 1	 2	      773.541019	  8e-06	     12.927562669	  1e-07	 2.59e-09	 0.00e+00	 2.59e-09	 8.23e-07	   -30846.690083	  2e-04	     7584.3	  9
 1	 5	 0	 7	     2626.451286	  1e-05	      3.807418799	  1e-08	 1.06e-07	 0.00e+00	 1.06e-07	 8.01e-07	   -30304.147780	  2e-04	     8364.9	 33
 1	 5	 0	 5	     4073.732222	  2e-05	      2.454751431	  1e-08	 2.55e-07	 1.07e-08	 2.65e-07	 8.01e-07	   -30304.147780	  2e-04	     8364.9	 33
 1	 5	 0	 3	     5108.402907	  4e-05	      1.957558983	  1e-08	 4.21e-07	 0.00e+00	 4.21e-07	 8.01e-07	   -30304.147780	  2e-04	     8364.9	 33
 1	 5	 1	 3	      982.530296	  1e-05	     10.177803209	  1e-07	 9.21e-09	 0.00e+00	 9.21e-09	 8.01e-07	   -30304.147780	  2e-04	     8364.9	 33
 1	 6	 0	 8	     2402.445708	  8e-06	      4.162424968	  1e-08	 7.36e-08	 0.00e+00	 7.36e-08	 7.76e-07	   -29663.680839	  2e-04	     9286.4	 13
 1	 6	 0	 6	     4039.491707	  2e-05	      2.475558987	  1e-08	 2.44e-07	 1.50e-08	 2.59e-07	 7.76e-07	   -29663.680839	  2e-04	     9286.4	 13
 1	 6	 0	 4	     5285.591254	  4e-05	      1.891935929	  1e-08	 4.19e-07	 0.00e+00	 4.19e-07	 7.76e-07	   -29663.680839	  2e-04	     9286.4	 13
 1	 6	 1	 4	     1183.009244	  1e-05	      8.453019324	  9e-08	 2.46e-08	 0.00e+00	 2.46e-08	 7.76e-07	   -29663.680839	  2e-04	     9286.4	 13
 1	 7	 0	 9	     2185.562784	  6e-06	      4.575480546	  1e-08	 4.97e-08	 0.00e+00	 4.97e-08	 7.53e-07	   -28930.543908	  2e-04	    10341.2	 45
 1	 7	 0	 7	     4000.055159	  2e-05	      2.499965526	  1e-08	 2.34e-07	 2.00e-08	 2.54e-07	 7.53e-07	   -28930.543908	  2e-04	    10341.2	 45
 1	 7	 0	 5	     5447.336095	  4e-05	      1.835759686	  1e-08	 3.95e-07	 0.00e+00	 3.95e-07	 7.53e-07	   -28930.543908	  2e-04	    10341.2	 45
 1	 7	 1	 5	     1373.603872	  1e-05	      7.280119257	  7e-08	 5.44e-08	 0.00e+00	 5.44e-08	 7.53e-07	   -28930.543908	  2e-04	    10341.2	 45
 1	 8	 0	10	     1976.662037	  5e-06	      5.059033771	  1e-08	 3.26e-08	 0.00e+00	 3.26e-08	 7.40e-07	   -28110.487247	  2e-04	    11521.1	 17
 1	 8	 0	 8	     3955.639300	  2e-05	      2.528036366	  1e-08	 2.23e-07	 2.58e-08	 2.49e-07	 7.40e-07	   -28110.487247	  2e-04	    11521.1	 17
 1	 8	 0	 6	     5592.685300	  4e-05	      1.788049830	  1e-08	 3.54e-07	 0.00e+00	 3.54e-07	 7.40e-07	   -28110.487247	  2e-04	    11521.1	 17
 1	 8	 1	 6	     1553.193592	  1e-05	      6.438347448	  6e-08	 1.05e-07	 0.00e+00	 1.05e-07	 7.40e-07	   -28110.487247	  2e-04	    11521.1	 17
 1	 9	 0	11	     1776.377452	  3e-06	      5.629434211	  9e-09	 2.07e-08	 0.00e+00	 2.07e-08	 7.44e-07	   -27209.628625	  2e-04	    12817.3	 57
 1	 9	 0	 9	     3906.478066	  2e-05	      2.559850543	  1e-08	 2.11e-07	 3.22e-08	 2.44e-07	 7.44e-07	   -27209.628625	  2e-04	    12817.3	 57
 1	 9	 0	 7	     5720.970441	  4e-05	      1.747955195	  1e-08	 2.98e-07	 0.00e+00	 2.98e-07	 7.44e-07	   -27209.628625	  2e-04	    12817.3	 57
 1	 9	 1	 7	     1720.915283	  2e-05	      5.810861289	  5e-08	 1.82e-07	 0.00e+00	 1.82e-07	 7.44e-07	   -27209.628625	  2e-04	    12817.3	 57
 1	10	 0	12	     1585.136169	  2e-06	      6.308606286	  6e-09	 1.26e-08	 0.00e+00	 1.26e-08	 7.77e-07	   -26234.331933	  2e-04	    14220.5	 21
 1	10	 0	10	     3852.817350	  2e-05	      2.595503262	  1e-08	 1.99e-07	 3.94e-08	 2.39e-07	 7.77e-07	   -26234.331933	  2e-04	    14220.5	 21
 1	10	 0	 8	     5831.794613	  4e-05	      1.714738029	  1e-08	 2.34e-07	 0.00e+00	 2.34e-07	 7.77e-07	   -26234.331933	  2e-04	    14220.5	 21
 1	10	 1	 8	     1876.155313	  2e-05	      5.330049133	  5e-08	 2.92e-07	 0.00e+00	 2.92e-07	 7.77e-07	   -26234.331933	  2e-04	    14220.5	 21
 1	11	 0	13	     1403.181364	  3e-07	      7.126662495	  2e-09	 7.40e-09	 0.00e+00	 7.40e-09	 8.46e-07	   -25191.096572	  2e-04	    15721.5	 69
 1	11	 0	11	     3794.909506	  2e-05	      2.635108949	  1e-08	 1.87e-07	 4.72e-08	 2.34e-07	 8.46e-07	   -25191.096572	  2e-04	    15721.5	 69
 1	11	 0	 9	     5925.010119	  4e-05	      1.687760831	  1e-08	 1.68e-07	 0.00e+00	 1.68e-07	 8.46e-07	   -25191.096572	  2e-04	    15721.5	 69
 1	11	 1	 9	     2018.532053	  2e-05	      4.954095222	  4e-08	 4.37e-07	 0.00e+00	 4.37e-07	 8.46e-07	   -25191.096572	  2e-04	    15721.5	 69
 1	12	 0	14	     1230.597129	  9e-07	      8.126136299	  6e-09	 4.13e-09	 0.00e+00	 4.13e-09	 9.60e-07	   -24086.460293	  1e-04	    17310.8	 25
 1	12	 0	12	     3733.007810	  2e-05	      2.678805004	  1e-08	 1.74e-07	 5.57e-08	 2.29e-07	 9.60e-07	   -24086.460293	  1e-04	    17310.8	 25
 1	12	 0	10	     6000.688991	  4e-05	      1.666475302	  1e-08	 1.05e-07	 0.00e+00	 1.05e-07	 9.60e-07	   -24086.460293	  1e-04	    17310.8	 25
 1	12	 1	10	     2147.871641	  2e-05	      4.655771699	  4e-08	 6.21e-07	 0.00e+00	 6.21e-07	 9.60e-07	   -24086.460293	  1e-04	    17310.8	 25
 1	13	 0	15	     1067.333579	  2e-06	      9.369142128	  2e-08	 2.18e-09	 0.00e+00	 2.18e-09	 1.12e-06	   -22926.916876	  1e-04	    18979.1	 81
 1	13	 0	13	     3667.361060	  2e-05	      2.726756334	  1e-08	 1.60e-07	 6.49e-08	 2.25e-07	 1.12e-06	   -22926.916876	  1e-04	    18979.1	 81
 1	13	 0	11	     6059.089202	  4e-05	      1.650413068	  1e-08	 5.32e-08	 0.00e+00	 5.32e-08	 1.12e-06	   -22926.916876	  1e-04	    18979.1	 81
 1	13	 1	11	     2264.179696	  2e-05	      4.416610580	  4e-08	 8.42e-07	 0.00e+00	 8.42e-07	 1.12e-06	   -22926.916876	  1e-04	    18979.1	 81
 1	14	 0	16	      913.230864	  3e-06	     10.950133635	  3e-08	 1.07e-09	 0.00e+00	 1.07e-09	 1.34e-06	   -21718.848986	  1e-04	    20717.3	 29
 1	14	 0	14	     3598.208436	  2e-05	      2.779160846	  1e-08	 1.47e-07	 7.47e-08	 2.22e-07	 1.34e-06	   -21718.848986	  1e-04	    20717.3	 29
 1	14	 0	12	     6100.619117	  4e-05	      1.639177895	  1e-08	 1.67e-08	 0.00e+00	 1.67e-08	 1.34e-06	   -21718.848986	  1e-04	    20717.3	 29
 1	14	 1	12	     2367.611307	  2e-05	      4.223666262	  4e-08	 1.10e-06	 0.00e+00	 1.10e-06	 1.34e-06	   -21718.848986	  1e-04	    20717.3	 29
 1	15	 0	17	      768.041228	  4e-06	     13.020134383	  6e-08	 4.82e-10	 0.00e+00	 4.82e-10	 1.60e-06	   -20468.475747	  1e-04	    22516.3	 93
 1	15	 0	15	     3525.774708	  2e-05	      2.836256094	  1e-08	 1.34e-07	 8.51e-08	 2.19e-07	 1.60e-06	   -20468.475747	  1e-04	    22516.3	 93
 1	15	 0	13	     6125.802189	  4e-05	      1.632439261	  1e-08	 4.74e-10	 0.00e+00	 4.74e-10	 1.60e-06	   -20468.475747	  1e-04	    22516.3	 93
 1	15	 1	13	     2458.441129	  2e-05	      4.067618249	  3e-08	 1.38e-06	 0.00e+00	 1.38e-06	 1.60e-06	   -20468.475747	  1e-04	    22516.3	 93
 1	16	 0	18	      631.448566	  4e-06	     15.836602597	  1e-07	 1.93e-10	 0.00e+00	 1.93e-10	 1.91e-06	   -19181.814039	  9e-05	    24367.5	 33
 1	16	 0	16	     3450.265811	  2e-05	      2.898327418	  1e-08	 1.21e-07	 9.60e-08	 2.17e-07	 1.91e-06	   -19181.814039	  9e-05	    24367.5	 33
 1	16	 0	14	     6135.243383	  4e-05	      1.629927189	  1e-08	 8.09e-09	 0.00e+00	 8.09e-09	 1.91e-06	   -19181.814039	  9e-05	    24367.5	 33
 1	16	 1	14	     2537.034947	  2e-05	      3.941609087	  3e-08	 1.69e-06	 0.00e+00	 1.69e-06	 1.91e-06	   -19181.814039	  9e-05	    24367.5	 33
 1	17	 0	19	      503.085269	  5e-06	     19.877346081	  2e-07	 6.62e-11	 0.00e+00	 6.62e-11	 2.26e-06	   -17864.652223	  8e-05	    26262.6	105
 1	17	 0	17	     3371.864751	  2e-05	      2.965718004	  1e-08	 1.08e-07	 1.08e-07	 2.16e-07	 2.26e-06	   -17864.652223	  8e-05	    26262.6	105
 1	17	 0	15	     6129.598231	  4e-05	      1.631428296	  1e-08	 4.18e-08	 0.00e+00	 4.18e-08	 2.26e-06	   -17864.652223	  8e-05	    26262.6	105
 1	17	 1	15	     2603.823523	  2e-05	      3.840506053	  3e-08	 2.00e-06	 0.00e+00	 2.00e-06	 2.26e-06	   -17864.652223	  8e-05	    26262.6	105
 1	18	 0	20	      382.546308	  5e-06	     26.140626091	  4e-07	 1.79e-11	 0.00e+00	 1.79e-11	 2.64e-06	   -16522.534870	  7e-05	    28193.6	 37
