##Lines from Peter van Hoof's Atomic Line List http://www.pa.uky.edu/~peter/atomic/
1.4735512	H I 4-40
1.4743247	H I 4-39
1.4751609	H I 4-38
1.4760670	H I 4-37
1.4770509	H I 4-36
1.4781217	H I 4-35
1.4792903	H I 4-34
1.4805687	H I 4-33
1.4819715	H I 4-32
1.4835152	H I 4-31
1.4852196	H I 4-30
1.4871078	H I 4-29
1.4892076	H I 4-28
1.4915520	H I 4-27
1.4941809	H I 4-26
1.4971425	H I 4-25
1.5004961	H I 4-24
1.5043147	H I 4-23
1.5086897	H I 4-22
1.5137357	H I 4-21
1.5195996	H I 4-20
1.5264708	H I 4-19
1.5345982	H I 4-18
1.5443139	H I 4-17
1.5560699	H I 4-16
1.5704952	H I 4-15
1.5884880	H I 4-14
1.6113714	H I 4-13
1.6411674	H I 4-12
1.6811111	H I 4-11
1.7366850	H I 4-10
1.8179084	H I 4-9
1.875613	H I 3-4
1.9450871	H I 4-8
2.166120	H I 4-7
#2.3155830	H I 5-40
#2.3174936	H I 5-39
#2.3195606	H I 5-38
#2.3218016	H I 5-37
#2.3242368	H I 5-36
#2.3268895	H I 5-35
#2.3297866	H I 5-34
#2.3329593	H I 5-33
#2.3364440	H I 5-32
#2.3402834	H I 5-31
#2.3445277	H I 5-30
#2.3492366	H I 5-29
#2.3544810	H I 5-28
#2.3603466	H I 5-27
#2.3669366	H I 5-26
#2.3743770	H I 5-25
#2.3828230	H I 5-24
#2.3924675	H I 5-23
#2.4035523	H I 5-22
#2.4163852	H I 5-21
#2.4313620	H I 5-20
#2.4490002	H I 5-19
#2.4699873	H I 5-18
#2.4952543	H I 5-17
#2.5260903	H I 5-16
#2.5643270	H I 5-15
